fitted prop,lower CI,upper CI,warm
0.652022785,0.615804304,0.688241267,-0.030694373
0.652228241,0.616587376,0.687869105,-0.019162979
0.652433696,0.617368523,0.68749887,-0.007631585
0.652639152,0.618147646,0.687130657,0.003899809
0.652844607,0.618924645,0.686764569,0.015431203
0.653050063,0.61969941,0.686400715,0.026962598
0.653255518,0.620471823,0.686039212,0.038493992
0.653460973,0.621241762,0.685680184,0.050025386
0.653666429,0.622009094,0.685323764,0.06155678
0.653871884,0.622773677,0.684970092,0.073088174
0.65407734,0.623535361,0.684619319,0.084619568
0.654282795,0.624293983,0.684271607,0.096150962
0.654488251,0.625049373,0.683927129,0.107682356
0.654693706,0.625801344,0.683586068,0.119213751
0.654899162,0.6265497,0.683248623,0.130745145
0.655104617,0.627294228,0.682915006,0.142276539
0.655310072,0.628034702,0.682585443,0.153807933
0.655515528,0.628770878,0.682260178,0.165339327
0.655720983,0.629502495,0.681939471,0.176870721
0.655926439,0.630229274,0.681623604,0.188402115
0.656131894,0.630950913,0.681312875,0.199933509
0.65633735,0.631667091,0.681007608,0.211464904
0.656542805,0.63237746,0.68070815,0.222996298
0.656748261,0.63308165,0.680414871,0.234527692
0.656953716,0.633779261,0.680128171,0.246059086
0.657159171,0.634469864,0.679848478,0.25759048
0.657364627,0.635153002,0.679576252,0.269121874
0.657570082,0.635828181,0.679311983,0.280653268
0.657775538,0.636494875,0.6790562,0.292184662
0.657980993,0.637152521,0.678809466,0.303716056
0.658186449,0.637800515,0.678572383,0.315247451
0.658391904,0.638438215,0.678345593,0.326778845
0.65859736,0.639064939,0.67812978,0.338310239
0.658802815,0.639679961,0.677925669,0.349841633
0.659008271,0.640282513,0.677734028,0.361373027
0.659213726,0.640871786,0.677555666,0.372904421
0.659419181,0.641446927,0.677391436,0.384435815
0.659624637,0.642007048,0.677242225,0.395967209
0.659830092,0.642551224,0.67710896,0.407498604
0.660035548,0.6430785,0.676992596,0.419029998
0.660241003,0.643587894,0.676894112,0.430561392
0.660446459,0.644078412,0.676814505,0.442092786
0.660651914,0.644549051,0.676754778,0.45362418
0.66085737,0.644998813,0.676715926,0.465155574
0.661062825,0.64542672,0.67669893,0.476686968
0.66126828,0.645831827,0.676704734,0.488218362
0.661473736,0.646213239,0.676734233,0.499749757
0.661679191,0.646570128,0.676788255,0.511281151
0.661884647,0.646901751,0.676867543,0.522812545
0.662090102,0.647207465,0.67697274,0.534343939
0.662295558,0.647486743,0.677104372,0.545875333
0.662501013,0.64773919,0.677262836,0.557406727
0.662706469,0.647964549,0.677448388,0.568938121
0.662911924,0.64816271,0.677661138,0.580469515
0.663117379,0.648333712,0.677901047,0.592000909
0.663322835,0.648477746,0.678167923,0.603532304
0.66352829,0.648595145,0.678461436,0.615063698
0.663733746,0.648686374,0.678781117,0.626595092
0.663939201,0.648752026,0.679126376,0.638126486
0.664144657,0.648792799,0.679496514,0.64965788
0.664350112,0.648809484,0.67989074,0.661189274
0.664555568,0.648802946,0.680308189,0.672720668
0.664761023,0.64877411,0.680747936,0.684252062
0.664966479,0.648723941,0.681209016,0.695783457
0.665171934,0.648653428,0.68169044,0.707314851
0.665377389,0.648563573,0.682191205,0.718846245
0.665582845,0.648455378,0.682710312,0.730377639
0.6657883,0.64832983,0.683246771,0.741909033
0.665993756,0.648187897,0.683799614,0.753440427
0.666199211,0.648030519,0.684367903,0.764971821
0.666404667,0.647858603,0.684950731,0.776503215
0.666610122,0.647673017,0.685547227,0.78803461
0.666815578,0.64747459,0.686156565,0.799566004
0.667021033,0.647264111,0.686777955,0.811097398
0.667226488,0.647042324,0.687410653,0.822628792
0.667431944,0.646809932,0.688053956,0.834160186
0.667637399,0.646567596,0.688707202,0.84569158
0.667842855,0.646315937,0.689369773,0.857222974
0.66804831,0.646055536,0.690041085,0.868754368
0.668253766,0.645786936,0.690720595,0.880285762
0.668459221,0.645510647,0.691407795,0.891817157
0.668664677,0.645227142,0.692102212,0.903348551
0.668870132,0.644936862,0.692803402,0.914879945
0.669075587,0.644640222,0.693510953,0.926411339
0.669281043,0.644337604,0.694224482,0.937942733
0.669486498,0.644029367,0.69494363,0.949474127
0.669691954,0.643715844,0.695668064,0.961005521
0.669897409,0.643397345,0.696397474,0.972536915
0.670102865,0.64307416,0.697131569,0.98406831
0.67030832,0.642746559,0.697870081,0.995599704
0.670513776,0.642414793,0.698612758,1.007131098
0.670719231,0.642079096,0.699359366,1.018662492
0.670924687,0.641739687,0.700109686,1.030193886
0.671130142,0.64139677,0.700863514,1.04172528
0.671335597,0.641050535,0.70162066,1.053256674
0.671541053,0.640701161,0.702380945,1.064788068
0.671746508,0.640348814,0.703144203,1.076319463
0.671951964,0.63999365,0.703910278,1.087850857
0.672157419,0.639635814,0.704679025,1.099382251
0.672362875,0.639275443,0.705450307,1.110913645
0.67256833,0.638912665,0.706223996,1.122445039
